date,num1,num2,num3,num4,num5,num6
2018-04-30,2,11,14,45,49,3
2018-04-26,7,32,33,36,59,3
2018-04-23,16,21,22,47,52,3
2018-04-19,4,15,28,35,42,2
2018-04-16,8,11,15,26,50,3
2018-04-12,2,6,14,22,40,1
2018-04-09,10,19,29,45,48,4
2018-04-05,3,10,21,24,59,1
2018-04-02,7,12,21,24,40,2
2018-03-29,34,35,36,46,58,1
2018-03-26,2,9,23,47,54,3
2018-03-22,2,8,15,40,41,4
2018-03-19,3,26,30,51,53,4
2018-03-15,11,12,31,49,59,1
2018-03-12,5,29,35,36,49,4
2018-03-08,6,34,36,44,55,4
2018-03-05,1,47,52,54,58,2
2018-03-01,5,6,7,12,36,2
2018-02-26,29,31,40,45,59,3
2018-02-22,26,28,38,47,51,1
2018-02-19,10,16,23,31,53,2
2018-02-15,1,43,44,53,54,1
2018-02-12,1,5,17,21,33,4
2018-02-08,9,37,47,51,55,4
2018-02-05,30,36,39,55,60,1
2018-02-01,10,20,21,25,52,1
2018-01-29,6,11,14,16,52,1
2018-01-25,1,6,24,41,44,2
2018-01-22,1,5,10,28,57,3
2018-01-18,26,36,42,58,60,1
2018-01-15,12,25,31,33,58,4
2018-01-11,18,22,23,41,53,1
2018-01-08,3,11,44,47,58,3
2018-01-04,12,22,42,43,53,3
2018-01-01,12,18,20,31,38,4
2019-12-31,10,22,26,28,39,2
2019-12-30,8,32,39,58,60,4
2019-12-29,1,19,20,25,36,3
2019-12-28,17,33,42,43,55,3
2019-12-27,2,8,35,41,47,1
2019-12-26,2,11,29,44,59,2
2019-12-25,5,7,15,24,37,1
2019-12-24,6,8,16,23,57,4
2019-12-23,1,9,40,53,58,3
2019-12-22,32,36,38,42,54,3
2019-12-21,5,15,24,30,59,3
2019-12-20,9,27,40,48,58,1
2019-12-19,6,15,35,44,59,3
2019-12-18,22,43,49,50,57,2
2019-12-17,14,16,17,24,43,1
2019-12-16,26,30,35,36,58,2
2019-12-15,3,10,16,35,38,2
2019-12-14,2,11,25,40,44,1
2019-12-13,27,40,45,46,60,2
2019-12-12,6,21,49,53,55,1
2019-12-11,3,8,11,30,48,1
2019-12-10,21,32,36,39,53,1
2019-12-09,1,30,42,47,52,1
2019-12-08,17,18,21,44,50,1
2019-12-07,2,27,48,55,60,3
2019-12-06,3,11,18,23,49,4
2019-12-05,3,15,42,45,50,3
2019-12-04,23,44,46,49,56,3
2019-12-03,6,13,15,22,51,3
2019-12-02,15,20,36,44,46,2
